,Unnamed: 0,avg_total_reward,avg_snake_size,avg_food_eaten,avg_moves,max_snake_size,max_food_eaten,max_moves,max_total_reward,model,combo
292,292,-11.949349999999999,0.602,0.022,2.576,2,1,9,27.0,4,8
293,293,-12.14995,0.5975,0.0635,4.9385,3,2,16,54.3,5,8
294,294,-12.181,0.596,0.068,4.9935,3,2,16,54.3,6,8
295,295,-11.753050000000002,0.616,0.082,4.688,3,2,23,54.3,7,8
296,296,-11.88375,0.6075,0.08,4.9265,4,3,20,79.8,8,8
297,297,-12.16,0.5965,0.066,5.048,3,2,15,54.3,9,8
298,298,-12.163950000000002,0.5955,0.0605,4.78,2,2,15,27.0,10,8
299,299,-12.1196,0.5975,0.0715,5.175,3,2,15,54.3,11,8
300,300,-11.765250000000002,0.611,0.0785,4.779,3,2,20,54.3,12,8
301,301,-12.08195,0.601,0.071,4.8665,3,2,16,54.3,13,8
302,302,-11.3698,0.628,0.0895,4.695,3,2,20,54.3,14,8
303,303,-12.45215,0.5845,0.0565,5.209,3,2,15,53.400000000000006,15,8
304,304,-12.36155,0.592,0.04,3.1725,3,2,15,54.3,16,8
305,305,-12.0319,0.601,0.0705,5.082,3,2,15,54.3,17,8
306,306,-12.068950000000001,0.6015,0.0215,2.759,2,1,12,27.0,18,8
307,307,-11.790550000000001,0.6085,0.0765,4.775,3,2,18,54.3,19,8
308,308,-12.021700000000001,0.6015,0.0215,2.506,2,1,10,27.0,20,8
309,309,-12.22995,0.5995,0.073,4.99,4,3,16,80.7,21,8
310,310,-11.705,0.613,0.077,4.732,4,3,18,80.4,22,8
311,311,-12.02905,0.596,0.074,5.028,2,2,15,27.0,23,8
312,312,-12.5904,0.5845,0.0535,5.1855,2,1,16,27.0,24,8
313,313,-11.800349999999998,0.612,0.0685,4.66,3,2,20,54.3,25,8
314,314,-12.05215,0.6005,0.075,4.879,4,3,19,80.10000000000001,26,8
315,315,-12.36935,0.5915,0.0445,3.565,3,2,15,53.7,27,8
316,316,-11.6477,0.616,0.073,4.476,3,2,18,53.7,28,8
